Gene,logFC,padj,p_value
MORN1,0.1739121,NA,8.90E-01
TNFRSF14-AS1,0.1770562,NA,9.04E-01
TNFRSF14,1.3358716,NA,3.39E-01
PRXL2B,0.0130411,NA,9.93E-01
MMEL1,0.1345494,NA,9.26E-01
LOC105378600,-0.8822937,NA,5.79E-01
LOC105378598,-0.8836937,NA,4.63E-01
LOC105378599,-2.0933633,NA,1.42E-01
PRDM16-DT,-1.1410433,NA,4.59E-01
LOC105378606,-1.8456235,NA,2.05E-01
LOC105378604,0.5368976,NA,6.83E-01
ARHGEF16,-0.1429911,NA,9.29E-01
MEGF6,-0.1975531,NA,8.63E-01
LOC105378608,-1.5662224,NA,3.91E-01
TP73,0.8153796,NA,6.50E-01
TP73-AS1,-0.3467983,NA,8.00E-01
CCDC27,1.6181439,NA,3.39E-01
CEP104,1.8280927,NA,3.22E-01
AJAP1,-0.9020348,NA,4.15E-01
NPHP4,0.2401448,NA,8.81E-01
KCNAB2,-2.098982,NA,1.26E-01
HES2,-0.4019783,NA,8.16E-01
ESPN,-0.4975178,NA,6.71E-01
PLEKHG5,0.5588211,NA,6.63E-01
NOL9,0.4008535,NA,7.66E-01
TAS1R1,0.4095866,NA,8.21E-01
CAMTA1,-0.0284035,NA,9.79E-01
TNFRSF9,0.4229601,NA,7.91E-01
RERE,0.5560081,NA,6.12E-01
ENO1,0.9447853,NA,4.95E-01
LOC112268261,0.1615083,NA,9.14E-01
H6PD,0.6768962,NA,6.37E-01
TMEM201,-0.6963986,NA,5.98E-01
CLSTN1,-1.1405722,NA,4.37E-01
CTNNBIP1,1.4881075,NA,3.03E-01
KIF1B,1.1565051,NA,2.98E-01
PEX14,0.2308256,NA,8.91E-01
CASZ1,1.1184401,NA,3.24E-01
C1orf127,1.1794648,NA,5.49E-01
MTOR,-1.1460737,NA,3.33E-01
UBIAD1,-0.269454,NA,8.55E-01
FBXO44,0.4920116,NA,7.48E-01
C1orf167,-0.4014483,NA,7.51E-01
MTHFR,0.617961,NA,6.38E-01
CLCN6,-0.7465609,NA,6.24E-01
PLOD1,0.3185781,NA,8.40E-01
MFN2,0.0264809,NA,9.87E-01
TNFRSF8,-0.5657471,NA,5.45E-01
TNFRSF1B,-1.2816695,NA,3.86E-01
VPS13D,-0.2452068,NA,8.35E-01
DHRS3,0.4898544,NA,7.65E-01
PRDM2,0.2926873,NA,8.35E-01
KAZN,-0.3458422,NA,7.21E-01
LOC105376759,-0.8321435,NA,6.72E-01
TMEM51-AS1,-0.9020155,NA,5.45E-01
FHAD1,-0.7011759,NA,6.19E-01
EFHD2,1.1343045,NA,5.00E-01
CTRC,-0.152105,NA,9.37E-01
CASP9,0.779096,NA,6.38E-01
DNAJC16,-0.6931861,NA,6.01E-01
PLEKHM2,-0.040219,NA,9.66E-01
SLC25A34,-0.1567835,NA,9.22E-01
FBLIM1,-0.5382638,NA,7.30E-01
SPEN,-2.2186547,NA,1.25E-01
ZBTB17,0.2488321,NA,8.68E-01
HSPB7,-0.0006184,NA,1
CLCNKA,-0.3061716,NA,8.44E-01
CLCNKB,1.4422063,NA,3.55E-01
FAM131C,-0.1539423,NA,9.22E-01
EPHA2,-1.606164,NA,2.85E-01
EPHA2-AS1,-1.9587124,NA,2.47E-01
ARHGEF19,-0.4826952,NA,6.12E-01
ANO7L1,-0.1781826,NA,9.15E-01
FBXO42,0.3321209,NA,8.37E-01
SPATA21,-0.0470487,NA,9.77E-01
NECAP2,-0.3681319,NA,8.05E-01
CROCCP3,2.5924503,NA,6.08E-02
CROCCP2,-0.6152359,NA,6.77E-01
MST1P2,-0.4439393,NA,7.19E-01
ESPNP,0.4288361,NA,7.57E-01
LOC112267871,0.0848227,NA,9.63E-01
ATP13A2,0.6173569,NA,6.42E-01
PADI2,-1.0937053,NA,2.87E-01
PADI1,1.0831069,NA,4.56E-01
PADI3,-1.0384431,NA,5.05E-01
PADI4,0.914065,NA,4.53E-01
RCC2,1.0827045,NA,4.38E-01
IGSF21,-0.2448479,NA,8.67E-01
KLHDC7A,0.8868405,NA,6.45E-01
PAX7,-2.7431215,NA,5.99E-02
ALDH4A1,-0.0193332,NA,9.91E-01
IFFO2,2.500409,NA,7.23E-02
EMC1,0.1256988,NA,9.47E-01
SLC66A1,-0.5386168,NA,7.37E-01
CAPZB,-0.7065768,NA,6.11E-01
TMCO4,-0.8971383,NA,5.17E-01
PLA2G2F,-1.262425,NA,4.86E-01
VWA5B1,-0.8065846,NA,4.45E-01
KIF17,1.411879,NA,3.79E-01
SH2D5,2.9644476,NA,5.55E-02
EIF4G3,-0.3094043,NA,8.45E-01
ECE1,-0.4880472,NA,6.94E-01
ALPL,-1.8880168,NA,1.93E-01
RAP1GAP,-1.1032492,NA,2.96E-01
LDLRAD2,-1.2745412,NA,4.56E-01
CDC42,0.5098011,NA,6.71E-01
EPHA8,-2.4402984,NA,1.26E-01
KDM1A,-0.8329379,NA,6.12E-01
MDS2,-0.2760951,NA,8.84E-01
MYOM3,0.2719941,NA,9.09E-01
GRHL3,-0.6923224,NA,6.47E-01
NIPAL3,-1.4111169,NA,2.85E-01
NCMAP,0.1631584,NA,9.26E-01
RUNX3,1.7876217,NA,3.05E-01
RUNX3-AS1,-1.0615912,NA,3.07E-01
RSRP1,2.5417947,NA,1.36E-01
RHCE,-0.405643,NA,8.31E-01
LDLRAP1,0.291838,NA,8.51E-01
MAN1C1,1.2206155,NA,4.51E-01
SELENON,0.2440907,NA,8.63E-01
SLC30A2,0.3712883,NA,8.50E-01
CNKSR1,-1.3388248,NA,4.91E-01
CATSPER4,0.0326315,NA,9.89E-01
UBXN11,-1.1029067,NA,3.62E-01
CRYBG2,-0.9926299,NA,4.60E-01
ARID1A,0.6580207,NA,6.43E-01
GPATCH3,-1.3250419,NA,4.49E-01
NUDC,0.3687966,NA,8.40E-01
SLC9A1,0.1138777,NA,9.38E-01
WDTC1,0.5567273,NA,7.33E-01
MAP3K6,-0.8579008,NA,4.87E-01
WASF2,0.7505592,NA,6.40E-01
FGR,1.5684387,NA,2.52E-01
SMPDL3B,0.9698693,NA,5.92E-01
EYA3,-0.5376242,NA,7.93E-01
RCC1,2.3513764,NA,1.72E-01
OPRD1,-2.0962064,NA,1.13E-01
PTPRU,0.2082198,NA,8.67E-01
LOC105378617,1.4950945,NA,4.10E-01
SDC3,-0.3884118,NA,7.84E-01
PUM1,0.5213992,NA,7.43E-01
SERINC2,-1.6701391,NA,3.07E-01
LDC1P,-0.8982677,NA,6.24E-01
LOC105378626,-0.1511248,NA,9.33E-01
ADGRB2,-0.7344315,NA,5.60E-01
SPOCD1,0.0059581,NA,9.97E-01
KPNA6,-0.8097968,NA,5.35E-01
TXLNA,0.3157156,NA,8.17E-01
TMEM234,-0.2881703,NA,8.62E-01
IQCC,-1.3157939,NA,5.24E-01
EIF3I,0.8292672,NA,6.08E-01
LCK,-0.9935353,NA,5.24E-01
MARCKSL1,1.370228,NA,3.92E-01
ZBTB8B,-1.0172284,NA,4.84E-01
ZBTB8OS,-0.6834247,NA,6.94E-01
RBBP4,1.2588261,NA,4.11E-01
SYNC,-0.5333326,NA,7.61E-01
KIAA1522,-0.0046365,NA,9.97E-01
YARS1,0.2722585,NA,8.53E-01
AZIN2,1.5606869,NA,2.93E-01
TRIM62,-0.932677,NA,4.13E-01
ZNF362,0.014635,NA,9.93E-01
PHC2,-0.0344954,NA,9.78E-01
ZSCAN20,0.3976787,NA,7.94E-01
DLGAP3,0.9371953,NA,5.50E-01
SFPQ,0.9361972,NA,4.25E-01
ZMYM4,-1.7257647,NA,2.40E-01
KIAA0319L,-0.9255481,NA,5.72E-01
TFAP2E,-0.1574039,NA,9.10E-01
PSMB2,-0.8207496,NA,6.11E-01
CLSPN,1.136038,NA,4.88E-01
AGO1,-0.2337045,NA,7.88E-01
AGO3,-0.3331034,NA,7.12E-01
MAP7D1,-0.6195756,NA,5.97E-01
THRAP3,1.5040146,NA,4.26E-01
SH3D21,0.3841204,NA,7.70E-01
STK40,0.1672076,NA,9.14E-01
CSF3R,0.8115559,NA,6.12E-01
GRIK3,-0.2941636,NA,7.78E-01
C1orf109,-0.0598657,NA,9.76E-01
EPHA10,1.2688522,NA,2.97E-01
MTF1,-1.3064401,NA,4.27E-01
INPP5B,-0.2391409,NA,8.85E-01
LINC02786,0.0673058,NA,9.67E-01
BMP8A,-0.5537664,NA,7.58E-01
PPIEL,-3.1318206,NA,4.44E-02
PABPC4,-0.2268792,NA,8.90E-01
PPIE,1.8525424,NA,9.68E-02
BMP8B,-1.0079798,NA,4.76E-01
MYCL,1.9377073,NA,2.83E-01
MFSD2A,1.6520432,NA,3.94E-01
CAP1,0.9892666,NA,5.27E-01
COL9A2,-0.7840333,NA,5.45E-01
RIMS3,0.1025362,NA,9.50E-01
NFYC,0.3502026,NA,8.39E-01
KCNQ4,-0.2005978,NA,9.13E-01
SLFNL1-AS1,-0.0000802,NA,1
SLFNL1,1.0062357,NA,4.49E-01
SCMH1,-1.543349,NA,3.60E-01
FOXJ3,-5.2275682,NA,1.30E-05
RIMKLA,0.5041912,NA,6.55E-01
CCDC30,-0.9522843,NA,5.30E-01
CLDN19,-0.900904,NA,5.26E-01
P3H1,-0.0738411,NA,9.64E-01
CFAP57,-1.5598181,NA,4.20E-01
TIE1,-1.0463625,NA,4.15E-01
MPL,0.284501,NA,8.63E-01
PTPRF,1.437474,NA,2.44E-01
KDM4A,0.8168438,NA,6.32E-01
ST3GAL3,0.3900897,NA,7.54E-01
IPO13,1.130363,NA,4.51E-01
SLC6A9,-0.5551317,NA,6.83E-01
TMEM53,0.6368716,NA,6.92E-01
PTCH2,-0.2483645,NA,8.54E-01
HECTD3,-0.1132845,NA,9.40E-01
ZSWIM5,-0.5479093,NA,7.39E-01
MUTYH,-0.6741252,NA,6.83E-01
TESK2,-0.9184371,NA,5.83E-01
NASP,0.2700439,NA,8.58E-01
MAST2,0.6371433,NA,6.38E-01
RAD54L,-1.0395606,NA,5.32E-01
FAAH,-1.194493,NA,4.01E-01
MKNK1,-0.7197848,NA,5.86E-01
CYP4X1,-0.9654399,NA,6.12E-01
CYP4A22,-0.107841,NA,9.46E-01
TAL1,-0.7367862,NA,6.36E-01
STIL,-2.362405,NA,1.15E-01
TRABD2B,-0.6513857,NA,6.49E-01
LINC02794,-0.1135049,NA,9.48E-01
SLC5A9,-0.1445186,NA,9.04E-01
SPATA6,-1.0930825,NA,5.32E-01
LINC02808,-0.1870182,NA,9.06E-01
RNF11,0.4957948,NA,7.35E-01
ZFYVE9,-0.6619116,NA,6.57E-01
CC2D1B,-0.0784944,NA,9.50E-01
ECHDC2,-1.0464906,NA,4.71E-01
SLC1A7,1.1068712,NA,4.04E-01
LRP8,-1.7137659,NA,1.82E-01
LOC105378731,-0.0991156,NA,9.51E-01
TCEANC2,-1.3076226,NA,3.60E-01
CYB5RL,-1.324674,NA,3.91E-01
MRPL37,1.8010269,NA,3.20E-01
ACOT11,-0.7981867,NA,5.47E-01
MROH7-TTC4,0.1932808,NA,8.77E-01
MROH7,-0.0962824,NA,9.51E-01
LEXM,-1.305499,NA,3.94E-01
DHCR24,-0.9066415,NA,5.19E-01
BSND,-0.2270849,NA,8.70E-01
PCSK9,-0.0853845,NA,9.64E-01
USP24,-0.8544792,NA,5.38E-01
FYB2,0.6950024,NA,7.03E-01
DAB1,-1.1409598,NA,4.98E-01
LOC107984960,-2.093943,NA,1.43E-01
LOC101926907,-2.6971622,NA,7.79E-02
LINC02777,-0.657404,NA,7.03E-01
FGGY,-0.7334652,NA,5.86E-01
NFIA,0.509055,NA,7.59E-01
PGM1,0.1258385,NA,9.43E-01
ROR1,-2.1895309,NA,1.73E-01
CACHD1,-0.8422005,NA,5.96E-01
DNAJC6,0.3909055,NA,7.51E-01
LOC102724416,-0.5154938,NA,7.04E-01
PDE4B,-0.7391977,NA,6.28E-01
SGIP1,-1.0212134,NA,4.84E-01
MIER1,0.4364207,NA,7.87E-01
SERBP1,1.2847044,NA,4.10E-01
HHLA3,-0.119006,NA,9.58E-01
FPGT-TNNI3K,-1.6640743,NA,3.89E-01
ERICH3,1.5487159,NA,3.67E-01
ST6GALNAC3,-0.4504027,NA,7.97E-01
USP33,-0.3449891,NA,8.36E-01
FUBP1,0.1646203,NA,9.16E-01
ADGRL2,0.0175673,NA,9.91E-01
C1orf52,0.4592068,NA,7.60E-01
COL24A1,-1.039593,NA,5.88E-01
LOC105378833,0.2926824,NA,8.71E-01
LOC105378841,0.9614136,NA,5.39E-01
LRRC8D,0.4298338,NA,8.08E-01
RPAP2,-0.3115671,NA,7.98E-01
GFI1,0.4698169,NA,6.91E-01
EVI5,-0.1367913,NA,9.33E-01
RPL5,1.8783036,NA,1.27E-01
CCDC18,-0.2990922,NA,8.50E-01
FNBP1L,-0.4792245,NA,7.66E-01
GCLM,0.3679523,NA,8.26E-01
ABCA4,-0.2362233,NA,8.59E-01
SLC44A3-AS1,-0.7576069,NA,6.53E-01
DPYD,0.1700219,NA,9.15E-01
SLC35A3,-2.3716885,NA,1.32E-01
CDC14A,-2.293324,NA,1.24E-01
SLC30A7,-1.332077,NA,4.82E-01
DPH5,-1.2268267,NA,4.76E-01
COL11A1,-1.1664107,NA,4.89E-01
NTNG1,-0.7154008,NA,6.50E-01
VAV3,-0.6989049,NA,5.90E-01
NBPF4,-0.460395,NA,7.47E-01
NBPF6,0.014208,NA,9.91E-01
ELAPOR1,3.0359002,NA,6.01E-02
SARS1,-1.1336038,NA,4.89E-01
CELSR2,-0.0898376,NA,9.20E-01
PSRC1,-1.5465027,NA,3.81E-01
MYBPHL,0.2456711,NA,8.82E-01
SORT1,-0.7870041,NA,6.44E-01
AMIGO1,-0.528992,NA,7.36E-01
AMPD2,-0.1995872,NA,8.90E-01
GSTM3,0.075882,NA,9.65E-01
EPS8L3,-0.9770655,NA,5.38E-01
STRIP1,-0.9069843,NA,6.50E-01
KCNA2,0.4655024,NA,7.10E-01
LOC107985174,-0.8795888,NA,5.50E-01
DENND2D,1.1769791,NA,4.17E-01
INKA2,-1.4725567,NA,2.68E-01
KCND3,1.2358625,NA,4.30E-01
LINC02884,-0.7152201,NA,6.51E-01
WNT2B,-0.222794,NA,8.37E-01
ST7L,-1.5271743,NA,2.83E-01
MOV10,1.3372132,NA,2.11E-01
LRIG2,0.4250788,NA,7.45E-01
RSBN1,1.9318459,NA,2.46E-01
HIPK1,1.2841293,NA,4.29E-01
SYT6,-1.1327779,NA,5.47E-01
DENND2C,-0.5600017,NA,7.49E-01
CSDE1,2.4909873,NA,1.07E-01
VANGL1,-0.9263946,NA,5.36E-01
NHLH2,-0.5183555,NA,7.62E-01
ATP1A1,0.857237,NA,4.33E-01
IGSF3,-0.9608731,NA,5.29E-01
LOC105378924,-2.8805027,NA,5.56E-02
MAN1A2,0.3474826,NA,8.04E-01
GDAP2,-0.991751,NA,5.38E-01
WDR3,-0.6696361,NA,6.33E-01
SPAG17,0.0628563,NA,9.68E-01
ZNF697,-0.0099553,NA,9.94E-01
PHGDH,0.8535601,NA,5.30E-01
NOTCH2,1.4794098,NA,2.85E-01
SEC22B,1.297912,NA,3.77E-01
LOC105378954,-0.8952816,NA,6.62E-01
NBPF8,1.188843,NA,2.17E-01
PDE4DIPP2,-0.6304406,NA,6.77E-01
NBPF26,0.5186172,NA,5.53E-01
SRGAP2C,-1.1616035,NA,4.18E-01
FAM72C,-1.6256426,NA,2.66E-01
SRGAP2D,0.2807137,NA,8.53E-01
LINC02802,0.1652255,NA,9.05E-01
LOC101060524,1.172423,NA,5.51E-01
CH17-125A10.2,-0.7481809,NA,6.15E-01
NBPF15,-0.4090499,NA,7.64E-01
LINC01632,-0.3068549,NA,8.32E-01
DRD5P2,0.9068216,NA,6.62E-01
SRGAP2B,-0.3938066,NA,6.81E-01
FAM72D,-1.873568,NA,1.45E-01
LOC101929805,-0.3086881,NA,8.27E-01
LINC01145,0.5984153,NA,5.74E-01
LOC100996740,2.3045451,NA,1.90E-01
NBPF20,-1.3410424,NA,3.30E-01
NBPF25P,-0.361996,NA,8.38E-01
RNF115,0.1571789,NA,9.18E-01
GNRHR2,-1.014347,NA,5.14E-01
RBM8A,2.795304,NA,6.79E-02
LIX1L,-1.5670768,NA,3.43E-01
NBPF10,-0.1552607,NA,8.96E-01
NOTCH2NLA,1.0885386,NA,5.14E-01
LOC105371254,-2.896851,NA,8.79E-02
HYDIN2,-2.0045399,NA,7.66E-02
NBPF12,-0.7589883,NA,4.62E-01
ACP6,-0.4919478,NA,5.97E-01
GJA5,-1.6928019,NA,2.99E-01
GPR89B,-0.2609093,NA,8.90E-01
LINC02804,-2.2765078,NA,1.55E-01
NBPF11,0.9387545,NA,4.60E-01
LINC02806,-1.3859915,NA,2.82E-01
LOC105371224,0.3131557,NA,7.72E-01
NBPF14,0.0203203,NA,9.83E-01
NOTCH2NLB,-1.4160404,NA,1.35E-01
PDE4DIP,-0.0621641,NA,9.39E-01
LOC112268272,-1.2605412,NA,3.82E-01
NBPF9,1.4851367,NA,2.51E-01
NOTCH2NLC,0.5994117,NA,7.01E-01
LINC00869,-1.1662891,NA,3.54E-01
LOC644634,1.1622028,NA,4.99E-01
PDE4DIPP7,-0.5010625,NA,7.28E-01
SV2A,-0.6970996,NA,6.46E-01
MTMR11,-0.8336956,NA,5.82E-01
OTUD7B,-0.7356719,NA,4.68E-01
PLEKHO1,0.7715267,NA,6.34E-01
ANP32E,1.3156832,NA,4.02E-01
APH1A,0.5541839,NA,7.43E-01
RPRD2,0.443735,NA,7.79E-01
ADAMTSL4,-2.3943546,NA,8.39E-02
MCL1,0.84289,NA,5.79E-01
CTSS,-0.2659738,NA,8.81E-01
SETDB1,-2.6814491,NA,1.63E-02
CERS2,-1.060747,NA,5.58E-01
MINDY1,0.6091633,NA,6.07E-01
CDC42SE1,-0.8337631,NA,6.69E-01
SEMA6C,0.0258764,NA,9.83E-01
ZNF687,0.769657,NA,7.02E-01
POGZ,-0.9480061,NA,4.39E-01
SNX27,-0.5912801,NA,6.60E-01
CELF3,-1.1619359,NA,4.13E-01
RORC,-1.4830614,NA,3.27E-01
HRNR,-0.8021187,NA,4.99E-01
FLG,0.7849824,NA,5.93E-01
FLG2,-1.0069626,NA,5.88E-01
PGLYRP3,-0.9287138,NA,5.96E-01
PGLYRP4,-1.250626,NA,3.71E-01
INTS3,0.8697364,NA,5.43E-01
DENND4B,0.9507599,NA,4.44E-01
SLC39A1,0.1525822,NA,9.29E-01
TPM3,-0.098658,NA,9.43E-01
C1orf43,-0.5001634,NA,7.50E-01
UBAP2L,-0.5347239,NA,6.78E-01
HAX1,-1.1268741,NA,5.31E-01
ATP8B2,-0.1870513,NA,8.58E-01
UBE2Q1,-1.237532,NA,5.36E-01
CHRNB2,-1.0033189,NA,4.84E-01
ADAR,-0.4548329,NA,7.26E-01
KCNN3,-1.2086131,NA,1.67E-01
SHC1,-0.0604018,NA,9.68E-01
ZBTB7B,2.2503137,NA,1.96E-01
DCST2,-0.2029705,NA,9.05E-01
ADAM15,-0.0229513,NA,9.89E-01
THBS3,-1.2956983,NA,4.71E-01
HCN3,-0.1742238,NA,8.89E-01
YY1AP1,-0.2931188,NA,8.82E-01
DAP3,-0.8870256,NA,5.45E-01
MSTO2P,-0.0333366,NA,9.87E-01
GON4L,1.7566032,NA,2.64E-01
SYT11,0.6796837,NA,6.58E-01
ARHGEF2,-0.5710515,NA,6.56E-01
UBQLN4,-2.9018285,NA,7.70E-02
MEX3A,-2.2433566,NA,1.62E-01
SEMA4A,1.0336824,NA,5.60E-01
SLC25A44,-1.9610395,NA,2.23E-01
PAQR6,2.0899812,NA,1.27E-01
SMG5,1.6179587,NA,1.78E-01
RHBG,0.2981651,NA,8.70E-01
MIR9-1HG,2.740333,NA,3.10E-02
MEF2D,-0.6129377,NA,5.47E-01
IQGAP3,-0.0305045,NA,9.83E-01
BCAN-AS1,-1.3549927,NA,3.24E-01
BCAN,-0.0236424,NA,9.80E-01
NES,0.4726628,NA,7.39E-01
HDGF,0.5887951,NA,7.48E-01
SH2D2A,-1.531675,NA,3.27E-01
NTRK1,-2.284423,NA,4.97E-02
INSRR,-0.1779537,NA,8.91E-01
PEAR1,1.1898094,NA,2.86E-01
LRRC71,0.7419611,NA,6.04E-01
ARHGEF11,0.9822988,NA,4.57E-01
ETV3,-1.4878597,NA,4.08E-01
LOC101928202,-2.3492385,NA,1.11E-01
FCRL5,1.1405023,NA,3.77E-01
FCRL1,-0.9959001,NA,4.25E-01
KIRREL1,-0.2753266,NA,8.31E-01
SPTA1,-1.5641045,NA,3.40E-01
CADM3,0.7691161,NA,6.07E-01
FCRL6,0.4271824,NA,7.37E-01
LOC107985216,0.648896,NA,7.29E-01
KCNJ10,-0.6086421,NA,6.83E-01
ATP1A2,-0.2035016,NA,8.51E-01
DCAF8,-0.4164185,NA,7.86E-01
COPA,0.6553849,NA,6.61E-01
NCSTN,-1.5429449,NA,3.62E-01
VANGL2,-0.1051607,NA,9.50E-01
USF1,-0.6244526,NA,7.23E-01
ARHGAP30,1.1336932,NA,5.26E-01
NECTIN4,0.5515392,NA,7.42E-01
ADAMTS4,-0.0157494,NA,9.91E-01
TRL-CAG1-1,-0.152755,NA,9.22E-01
TRL-CAG1-4,1.5687125,NA,3.71E-01
TRL-CAG1-5,0.5010191,NA,7.39E-01
FCGR3A,0.292988,NA,8.76E-01
OLFML2B,1.4694096,NA,2.70E-01
NOS1AP,-0.2655552,NA,8.30E-01
LOC105371475,-0.5439926,NA,6.31E-01
C1orf226,-1.1555608,NA,5.34E-01
DDR2,-0.8760784,NA,5.40E-01
CCDC190,-1.0153936,NA,5.47E-01
PBX1,-0.2932994,NA,8.36E-01
UCK2,0.1074784,NA,9.33E-01
FAM78B,-0.0395626,NA,9.81E-01
LOC112268276,-1.5368181,NA,3.60E-01
ILDR2,-0.8372841,NA,4.16E-01
GPA33,-1.124119,NA,5.05E-01
STYXL2,2.487147,NA,1.09E-01
POU2F1,0.5339641,NA,6.85E-01
CD247,-0.161011,NA,9.14E-01
RCSD1,-0.4605244,NA,7.87E-01
MPZL1,1.3031809,NA,4.38E-01
ADCY10,-0.9955828,NA,5.41E-01
DCAF6,-0.6053175,NA,7.34E-01
GPR161,-0.1030802,NA,9.42E-01
SFT2D2,-0.2770399,NA,8.71E-01
F5,-0.7070482,NA,6.67E-01
PRRC2C,1.872065,NA,1.18E-01
DNM3,0.2410145,NA,7.96E-01
TNFSF4,0.1007269,NA,9.37E-01
ZBTB37,-0.6352146,NA,4.84E-01
RC3H1,-1.6320343,NA,2.32E-01
RABGAP1L,-1.548897,NA,1.09E-01
TNN,-0.4660376,NA,7.44E-01
TNR,-0.4062798,NA,7.68E-01
COP1,-0.6115591,NA,6.86E-01
PAPPA2,-0.67745,NA,6.20E-01
ASTN1,-0.6192135,NA,6.68E-01
BRINP2,-0.0615971,NA,9.58E-01
CRYZL2P-SEC16B,0.2996054,NA,8.24E-01
SEC16B,0.0739681,NA,9.57E-01
ABL2,-0.7999449,NA,5.78E-01
SOAT1,-1.4934391,NA,3.89E-01
FAM163A,-0.983161,NA,4.64E-01
TOR1AIP2,-1.0152006,NA,4.90E-01
CEP350,0.1083314,NA,9.29E-01
QSOX1,-0.4875308,NA,7.41E-01
LHX4,1.1159173,NA,3.91E-01
ACBD6,0.4245422,NA,8.12E-01
XPR1,1.0300942,NA,5.04E-01
KIAA1614,-0.6644355,NA,7.09E-01
STX6,-1.2879398,NA,4.53E-01
MR1,-1.6108604,NA,3.50E-01
IER5,-1.8778173,NA,2.03E-01
GLUL,0.7626079,NA,5.04E-01
RGS8,0.4493694,NA,7.77E-01
DHX9,3.6237427,NA,8.07E-03
LAMC1,-0.7925386,NA,5.47E-01
SMG7,2.5307212,NA,1.15E-01
NCF2,0.2782338,NA,8.89E-01
ARPC5,0.3497122,NA,8.00E-01
COLGALT2,-1.57169,NA,3.19E-01
C1orf21,0.6820214,NA,7.14E-01
LOC107985236,-0.1850721,NA,9.11E-01
EDEM3,1.0997023,NA,4.83E-01
HMCN1,-0.4058264,NA,6.52E-01
TPR,1.5275128,NA,4.33E-01
BRINP3,-1.8689798,NA,2.64E-01
DENND1B,-0.9309627,NA,5.67E-01
PTPRC,-0.326806,NA,8.69E-01
NR5A2,0.142717,NA,9.18E-01
KIF14,-0.8343833,NA,5.86E-01
DDX59,-0.6648683,NA,7.32E-01
INAVA,0.2860194,NA,8.63E-01
CACNA1S,-0.7108095,NA,5.90E-01
PKP1,0.0084202,NA,9.96E-01
TNNI1,0.6474434,NA,6.72E-01
CSRP1,0.744975,NA,6.38E-01
CSRP1-AS1,-1.5301687,NA,4.43E-01
IPO9,0.2767838,NA,8.51E-01
ELF3,0.7486986,NA,6.62E-01
GPR37L1,0.4495511,NA,7.61E-01
PTPN7,0.3027765,NA,8.72E-01
PTPRVP,1.194799,NA,4.84E-01
LGR6,-0.461715,NA,7.72E-01
SYT2,-0.4199958,NA,7.23E-01
KDM5B,-0.4982696,NA,7.85E-01
ADIPOR1,0.6595008,NA,6.26E-01
PPFIA4,1.1533684,NA,3.05E-01
MYBPH,-1.2738036,NA,4.93E-01
ZC3H11A,0.6183558,NA,7.19E-01
MDM4,0.8280246,NA,5.42E-01
LOC105371692,-0.4379284,NA,7.20E-01
CNTN2,0.2865607,NA,8.21E-01
RBBP5,-2.5165919,NA,8.32E-02
CDK18,0.0593002,NA,9.65E-01
ELK4,0.7146228,NA,6.17E-01
NUCKS1,0.640357,NA,6.26E-01
SLC41A1,-0.9087046,NA,5.50E-01
SLC26A9,0.0039361,NA,9.97E-01
AVPR1B,0.3775332,NA,8.15E-01
FAM72A,-0.6566898,NA,6.49E-01
SRGAP2,-0.1017473,NA,9.41E-01
IKBKE,-1.1491264,NA,4.59E-01
EIF2D,-1.1141192,NA,4.55E-01
MAPKAPK2,5.3617224,NA,6.47E-04
FCMR,1.7257608,NA,2.52E-01
PFKFB2,0.5658557,NA,7.33E-01
CR1,-0.0373195,NA,9.77E-01
CD46,1.2469315,NA,4.96E-01
LAMB3,-1.0244827,NA,4.18E-01
HHAT,-1.082828,NA,4.64E-01
TRAF5,-0.1133016,NA,9.50E-01
LPGAT1,1.4328804,NA,4.17E-01
PPP2R5A,-0.2517827,NA,9.06E-01
PACC1,-0.7957215,NA,6.55E-01
LINC02773,-0.062849,NA,9.69E-01
PROX1,-1.0987251,NA,4.90E-01
PTPN14,0.5206243,NA,7.12E-01
CENPF,-0.458303,NA,7.99E-01
USH2A,0.0615799,NA,9.67E-01
ESRRG,-1.0642739,NA,4.04E-01
LYPLAL1,-0.7659891,NA,5.64E-01
SLC30A10,-0.5706146,NA,7.22E-01
EPRS1,0.2683746,NA,8.73E-01
MTARC2,0.156452,NA,9.39E-01
LOC105372945,-0.5924438,NA,7.42E-01
MIA3,1.2692402,NA,4.27E-01
BROX,-1.3491111,NA,4.91E-01
TLR5,1.4472484,NA,3.13E-01
SUSD4,-0.3100022,NA,8.56E-01
CAPN2,-0.5477087,NA,6.86E-01
TP53BP2,0.7050547,NA,6.97E-01
NVL,0.1258182,NA,9.45E-01
CNIH4,-2.1435591,NA,1.41E-01
WDR26,1.9645647,NA,1.09E-01
CNIH3,-0.0820386,NA,9.66E-01
CNIH3-AS2,0.8103831,NA,6.79E-01
DNAH14,-1.5516943,NA,2.85E-01
LBR,1.6186202,NA,3.26E-01
ENAH,-1.2188585,NA,3.08E-01
TMEM63A,0.553249,NA,7.08E-01
PARP1,-1.1262864,NA,5.07E-01
STUM,-0.4576065,NA,7.39E-01
ITPKB,0.7438125,NA,5.35E-01
PSEN2,-0.480242,NA,7.47E-01
COQ8A,1.3033198,NA,3.98E-01
LOC105379282,-0.0046403,NA,9.98E-01
CDC42BPA,-0.5790927,NA,5.92E-01
